subject,dataset_roi,roi,montage_preset,E_target,stimulated_volume,configuration,pair1,pair2,current1,current2,pareto_selection,source_target_id,source_mat,source_mat_sha256,cohort_selection_role
sub-CC120795,Left_Hippocampus,Left_Hippocampus,left-hippocampus,0.203808777934883,1.01698370820471,83921,Fpz-F4,P9-I1,2,2,TI_free.Emin,Target001,CC120795_Target001.mat,9538d2ae460e079c3ba2a8d5da5490711732ede43b553f31dfb04ec647c54caa,best_Right_DLPC
sub-CC120795,Left_M1,ctx_lh_G_precentral,left-m1,0.201608478231881,0.171514181590374,507895,F3-F1,C3-PO3,2,0.399052462993776,TI_free.Emin,Target003,CC120795_Target003.mat,9d1dcfd14c923a80d971d0d22095d29c3d4941a6300e4125bf0691b32bb0b3c8,best_Right_DLPC
sub-CC120795,Right_DLPC,ctx_rh_G_front_middle,right-dlpfc,0.206552532140986,0.332244966303461,605124,F2-F4,FT8-T8,0.632455532033676,2,TI_free.Emin,Target004,CC120795_Target004.mat,ae7055c2f28dd14199a207389e81bd0cf31b840ff3ea546aa0307d55e1d50ae0,best_Right_DLPC
sub-CC120795,Right_Thalamus,Right_Thalamus,right-thalamus,0.200496784357737,4.30691273044462,2801132,FT9-P9,FC4-CP6,2,1.58865646944856,TI_free.Emin,Target002,CC120795_Target002.mat,455cc21aff1ac7fc5429bcbaedde4ec5ae09a8cdb33e762994255cb6f7ed3351,best_Right_DLPC
sub-CC221775,Left_Hippocampus,Left_Hippocampus,left-hippocampus,0.20397017436712,0.582893371466002,85405,Fpz-F6,P9-Iz,2,1.26191468896039,TI_free.Emin,Target001,CC221775_Target001.mat,4a3ec1bb0a398b7fb488d4a54a0d5e58ff0187c30004d6734c7d953c2da88022,best_Left_M1
sub-CC221775,Left_M1,ctx_lh_G_precentral,left-m1,0.203821957146831,0.254069490097027,18561,Fp1-F7,C3-T8,2,0.251785082358833,TI_free.Emin,Target003,CC221775_Target003.mat,121a77bddfa7d8ab9c329d800def216ef9ec9a8e62651e517cd9425e97c9fdde,best_Left_M1
sub-CC221775,Right_DLPC,ctx_rh_G_front_middle,right-dlpfc,0.20160089270253,0.219518708697523,323373,AF4-F4,C2-CP2,0.632455532033676,2,TI_free.Emin,Target004,CC221775_Target004.mat,2d748e72d3e11b1af23854b8c6aa2d700161d106982c58a4147f0be915f03f4b,best_Left_M1
sub-CC221775,Right_Thalamus,Right_Thalamus,right-thalamus,0.200772812396847,5.16151600003921,2515886,F7-P7,FT8-TP8,1.26191468896039,2,TI_free.Emin,Target002,CC221775_Target002.mat,def15825a85c812bb5a063b955b91e0b21a3fed683274ce1e3f30b7a07152945,best_Left_M1
sub-CC320776,Left_Hippocampus,Left_Hippocampus,left-hippocampus,0.200269107653666,0.363978249924232,234335,AF3-F4,P9-Iz,2,1.58865646944856,TI_free.Emin,Target001,CC320776_Target001.mat,a91d8864ab6d78281a28243566a2933da621f163d0c171063d55a15d89c575b6,worst_Left_M1
sub-CC320776,Left_M1,ctx_lh_G_precentral,left-m1,0.202619796073751,0.68808992858423,779343,FC5-FC3,C1-P3,2,1.00237446725454,TI_free.Emin,Target003,CC320776_Target003.mat,e431bb6d06c4a7a7dcc169a2d61a9a4af3e36cf9fc611ea02c41addd51fcf0f6,worst_Left_M1
