subject,condition,metric,requested_metric,selection_basis,selection_status,target_median,selected_repeat_tag,selected_metric_value,selected_abs_delta,selected_signed_delta,selected_rank_1based,selected_mesh_nodes,lower_median_repeat_tag,lower_median_value,upper_median_repeat_tag,upper_median_value,selected_repeat_root,selected_m2m_dir,selected_mesh_path,selected_mesh_exists,summary_csv,notes
sub-CC120120,remesh,median_roi,median_roi,requested_metric,selected,0.2081850990653038,repeat_004,0.2083480954170227,0.0001629963517189026,0.0001629963517189026,21,340918.0,repeat_033,0.2080221027135849,repeat_004,0.2083480954170227,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC120120_repeatability/remesh/repeats/repeat_004,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC120120_repeatability/remesh/repeats/repeat_004/sub-CC120120/anat/m2m_sub-CC120120,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC120120_repeatability/remesh/repeats/repeat_004/sub-CC120120/anat/m2m_sub-CC120120/sub-CC120120.msh,False,/home/boyan/sandbox/Jake_Data/Repeatability-Data/repeatability_repair_analysis_bundle_20260613/repeatability_pair2_rerun/_analysis/sub-CC120120/remesh/summary.csv,"Closest repeat to arithmetic median; lower/upper median brackets are also recorded. For reruns, reuse selected_m2m_dir when available."
sub-CC122620,remesh,median_roi,median_roi,requested_metric,selected,0.24339746311306953,repeat_003,0.2433190792798996,7.838383316993713e-05,-7.838383316993713e-05,20,312042.0,repeat_003,0.2433190792798996,repeat_036,0.24347584694623947,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC122620_repeatability/remesh/repeats/repeat_003,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC122620_repeatability/remesh/repeats/repeat_003/sub-CC122620/anat/m2m_sub-CC122620,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC122620_repeatability/remesh/repeats/repeat_003/sub-CC122620/anat/m2m_sub-CC122620/sub-CC122620.msh,False,/home/boyan/sandbox/Jake_Data/Repeatability-Data/repeatability_repair_analysis_bundle_20260613/repeatability_pair2_rerun/_analysis/sub-CC122620/remesh/summary.csv,"Closest repeat to arithmetic median; lower/upper median brackets are also recorded. For reruns, reuse selected_m2m_dir when available."
sub-CC222496,remesh,median_roi,median_roi,requested_metric,selected,0.1761467158794403,repeat_002,0.17600849270820618,0.00013822317123413086,-0.00013822317123413086,20,360702.0,repeat_002,0.17600849270820618,repeat_022,0.17628493905067444,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC222496_repeatability/remesh/repeats/repeat_002,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC222496_repeatability/remesh/repeats/repeat_002/sub-CC222496/anat/m2m_sub-CC222496,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC222496_repeatability/remesh/repeats/repeat_002/sub-CC222496/anat/m2m_sub-CC222496/sub-CC222496.msh,False,/home/boyan/sandbox/Jake_Data/Repeatability-Data/repeatability_repair_analysis_bundle_20260613/repeatability_pair2_rerun/_analysis/sub-CC222496/remesh/summary.csv,"Closest repeat to arithmetic median; lower/upper median brackets are also recorded. For reruns, reuse selected_m2m_dir when available."
sub-CC321506,remesh,median_roi,median_roi,requested_metric,selected,0.245763398706913,repeat_001,0.2452777773141861,0.0004856213927268982,-0.0004856213927268982,20,305718.0,repeat_001,0.2452777773141861,repeat_019,0.2462490200996399,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC321506_repeatability/remesh/repeats/repeat_001,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC321506_repeatability/remesh/repeats/repeat_001/sub-CC321506/anat/m2m_sub-CC321506,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC321506_repeatability/remesh/repeats/repeat_001/sub-CC321506/anat/m2m_sub-CC321506/sub-CC321506.msh,False,/home/boyan/sandbox/Jake_Data/Repeatability-Data/repeatability_repair_analysis_bundle_20260613/repeatability_pair2_rerun/_analysis/sub-CC321506/remesh/summary.csv,"Closest repeat to arithmetic median; lower/upper median brackets are also recorded. For reruns, reuse selected_m2m_dir when available."
sub-CC410182,remesh,median_roi,median_roi,requested_metric,selected,0.24025000631809235,repeat_005,0.2401028424501419,0.00014716386795043945,-0.00014716386795043945,20,333005.0,repeat_005,0.2401028424501419,repeat_037,0.24039717018604279,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC410182_repeatability/remesh/repeats/repeat_005,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC410182_repeatability/remesh/repeats/repeat_005/sub-CC410182/anat/m2m_sub-CC410182,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC410182_repeatability/remesh/repeats/repeat_005/sub-CC410182/anat/m2m_sub-CC410182/sub-CC410182.msh,False,/home/boyan/sandbox/Jake_Data/Repeatability-Data/repeatability_repair_analysis_bundle_20260613/repeatability_pair2_rerun/_analysis/sub-CC410182/remesh/summary.csv,"Closest repeat to arithmetic median; lower/upper median brackets are also recorded. For reruns, reuse selected_m2m_dir when available."
sub-CC420075,remesh,median_roi,median_roi,requested_metric,selected,0.19592462107539177,repeat_002,0.19568851590156555,0.00023610517382621765,-0.00023610517382621765,20,369236.0,repeat_002,0.19568851590156555,repeat_005,0.196160726249218,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC420075_repeatability/remesh/repeats/repeat_002,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC420075_repeatability/remesh/repeats/repeat_002/sub-CC420075/anat/m2m_sub-CC420075,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC420075_repeatability/remesh/repeats/repeat_002/sub-CC420075/anat/m2m_sub-CC420075/sub-CC420075.msh,False,/home/boyan/sandbox/Jake_Data/Repeatability-Data/repeatability_repair_analysis_bundle_20260613/repeatability_pair2_rerun/_analysis/sub-CC420075/remesh/summary.csv,"Closest repeat to arithmetic median; lower/upper median brackets are also recorded. For reruns, reuse selected_m2m_dir when available."
sub-CC510534,remesh,median_roi,median_roi,requested_metric,selected,0.16138171404600143,repeat_022,0.16126884520053864,0.00011286884546279907,-0.00011286884546279907,20,340762.0,repeat_022,0.16126884520053864,repeat_036,0.16149458289146423,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC510534_repeatability/remesh/repeats/repeat_022,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC510534_repeatability/remesh/repeats/repeat_022/sub-CC510534/anat/m2m_sub-CC510534,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC510534_repeatability/remesh/repeats/repeat_022/sub-CC510534/anat/m2m_sub-CC510534/sub-CC510534.msh,False,/home/boyan/sandbox/Jake_Data/Repeatability-Data/repeatability_repair_analysis_bundle_20260613/repeatability_pair2_rerun/_analysis/sub-CC510534/remesh/summary.csv,"Closest repeat to arithmetic median; lower/upper median brackets are also recorded. For reruns, reuse selected_m2m_dir when available."
sub-CC520209,remesh,median_roi,median_roi,requested_metric,selected,0.20885149762034416,repeat_002,0.20869877189397812,0.0001527257263660431,-0.0001527257263660431,20,345314.0,repeat_002,0.20869877189397812,repeat_021,0.2090042233467102,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC520209_repeatability/remesh/repeats/repeat_002,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC520209_repeatability/remesh/repeats/repeat_002/sub-CC520209/anat/m2m_sub-CC520209,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC520209_repeatability/remesh/repeats/repeat_002/sub-CC520209/anat/m2m_sub-CC520209/sub-CC520209.msh,False,/home/boyan/sandbox/Jake_Data/Repeatability-Data/repeatability_repair_analysis_bundle_20260613/repeatability_pair2_rerun/_analysis/sub-CC520209/remesh/summary.csv,"Closest repeat to arithmetic median; lower/upper median brackets are also recorded. For reruns, reuse selected_m2m_dir when available."
sub-CC711128,remesh,median_roi,median_roi,requested_metric,selected,0.17120879888534546,repeat_015,0.17113415896892548,7.463991641998291e-05,-7.463991641998291e-05,20,346456.0,repeat_015,0.17113415896892548,repeat_033,0.17128343880176544,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC711128_repeatability/remesh/repeats/repeat_015,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC711128_repeatability/remesh/repeats/repeat_015/sub-CC711128/anat/m2m_sub-CC711128,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC711128_repeatability/remesh/repeats/repeat_015/sub-CC711128/anat/m2m_sub-CC711128/sub-CC711128.msh,False,/home/boyan/sandbox/Jake_Data/Repeatability-Data/repeatability_repair_analysis_bundle_20260613/repeatability_pair2_rerun/_analysis/sub-CC711128/remesh/summary.csv,"Closest repeat to arithmetic median; lower/upper median brackets are also recorded. For reruns, reuse selected_m2m_dir when available."
sub-CC721418,remesh,median_roi,median_roi,requested_metric,selected,0.1824711486697197,repeat_006,0.18240061402320862,7.053464651107788e-05,-7.053464651107788e-05,20,348285.0,repeat_006,0.18240061402320862,repeat_023,0.18254168331623077,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC721418_repeatability/remesh/repeats/repeat_006,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC721418_repeatability/remesh/repeats/repeat_006/sub-CC721418/anat/m2m_sub-CC721418,/mnt/parscratch/users/cop23bi/current-repair/repeatability_pair2_rerun/sub-CC721418_repeatability/remesh/repeats/repeat_006/sub-CC721418/anat/m2m_sub-CC721418/sub-CC721418.msh,False,/home/boyan/sandbox/Jake_Data/Repeatability-Data/repeatability_repair_analysis_bundle_20260613/repeatability_pair2_rerun/_analysis/sub-CC721418/remesh/summary.csv,"Closest repeat to arithmetic median; lower/upper median brackets are also recorded. For reruns, reuse selected_m2m_dir when available."
