subject,condition,metric,requested_metric,selection_basis,selection_status,target_median,selected_repeat_tag,selected_metric_value,selected_abs_delta,selected_signed_delta,selected_rank_1based,selected_mesh_nodes,lower_median_repeat_tag,lower_median_value,upper_median_repeat_tag,upper_median_value,selected_repeat_root,selected_m2m_dir,selected_mesh_path,selected_mesh_exists,summary_csv,notes
sub-CC120120,remesh,median_roi,median_roi,requested_metric,selected,0.24075355753302574,repeat_021,0.24018540233373642,0.0005681551992893219,-0.0005681551992893219,20,342861.0,repeat_021,0.24018540233373642,repeat_030,0.24132171273231506,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC120120_repeatability/remesh/repeats/repeat_021,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC120120_repeatability/remesh/repeats/repeat_021/sub-CC120120/anat/m2m_sub-CC120120,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC120120_repeatability/remesh/repeats/repeat_021/sub-CC120120/anat/m2m_sub-CC120120/sub-CC120120.msh,False,/home/boyan/sandbox/Jake_Data/Repeatability-Data/repeatability_scaled/_analysis/sub-CC120120/remesh/summary.csv,"Closest repeat to arithmetic median; lower/upper median brackets are also recorded. For reruns, reuse selected_m2m_dir when available."
sub-CC122620,remesh,median_roi,median_roi,requested_metric,selected,0.26432250440120697,repeat_016,0.2642521262168884,7.037818431854248e-05,-7.037818431854248e-05,20,318439.0,repeat_016,0.2642521262168884,repeat_029,0.2643928825855255,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC122620_repeatability/remesh/repeats/repeat_016,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC122620_repeatability/remesh/repeats/repeat_016/sub-CC122620/anat/m2m_sub-CC122620,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC122620_repeatability/remesh/repeats/repeat_016/sub-CC122620/anat/m2m_sub-CC122620/sub-CC122620.msh,False,/home/boyan/sandbox/Jake_Data/Repeatability-Data/repeatability_scaled/_analysis/sub-CC122620/remesh/summary.csv,"Closest repeat to arithmetic median; lower/upper median brackets are also recorded. For reruns, reuse selected_m2m_dir when available."
sub-CC222496,remesh,median_roi,median_roi,requested_metric,selected,0.20410076528787613,repeat_013,0.2040633112192154,3.7454068660736084e-05,-3.7454068660736084e-05,20,363774.0,repeat_013,0.2040633112192154,repeat_027,0.20413821935653687,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC222496_repeatability/remesh/repeats/repeat_013,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC222496_repeatability/remesh/repeats/repeat_013/sub-CC222496/anat/m2m_sub-CC222496,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC222496_repeatability/remesh/repeats/repeat_013/sub-CC222496/anat/m2m_sub-CC222496/sub-CC222496.msh,False,/home/boyan/sandbox/Jake_Data/Repeatability-Data/repeatability_scaled/_analysis/sub-CC222496/remesh/summary.csv,"Closest repeat to arithmetic median; lower/upper median brackets are also recorded. For reruns, reuse selected_m2m_dir when available."
sub-CC321506,remesh,median_roi,median_roi,requested_metric,selected,0.2656937763094902,repeat_009,0.2661219984292984,0.000428222119808197,0.000428222119808197,21,307904.0,repeat_038,0.265265554189682,repeat_009,0.2661219984292984,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC321506_repeatability/remesh/repeats/repeat_009,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC321506_repeatability/remesh/repeats/repeat_009/sub-CC321506/anat/m2m_sub-CC321506,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC321506_repeatability/remesh/repeats/repeat_009/sub-CC321506/anat/m2m_sub-CC321506/sub-CC321506.msh,False,/home/boyan/sandbox/Jake_Data/Repeatability-Data/repeatability_scaled/_analysis/sub-CC321506/remesh/summary.csv,"Closest repeat to arithmetic median; lower/upper median brackets are also recorded. For reruns, reuse selected_m2m_dir when available."
sub-CC410182,remesh,median_roi,median_roi,requested_metric,selected,0.28351298719644547,repeat_004,0.28386959433555603,0.0003566071391105652,0.0003566071391105652,21,330326.0,repeat_024,0.2831563800573349,repeat_004,0.28386959433555603,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC410182_repeatability/remesh/repeats/repeat_004,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC410182_repeatability/remesh/repeats/repeat_004/sub-CC410182/anat/m2m_sub-CC410182,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC410182_repeatability/remesh/repeats/repeat_004/sub-CC410182/anat/m2m_sub-CC410182/sub-CC410182.msh,False,/home/boyan/sandbox/Jake_Data/Repeatability-Data/repeatability_scaled/_analysis/sub-CC410182/remesh/summary.csv,"Closest repeat to arithmetic median; lower/upper median brackets are also recorded. For reruns, reuse selected_m2m_dir when available."
sub-CC420075,remesh,median_roi,median_roi,requested_metric,selected,0.22381968423724174,repeat_003,0.22440636157989502,0.0005866773426532745,0.0005866773426532745,21,373368.0,repeat_033,0.22323300689458847,repeat_003,0.22440636157989502,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC420075_repeatability/remesh/repeats/repeat_003,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC420075_repeatability/remesh/repeats/repeat_003/sub-CC420075/anat/m2m_sub-CC420075,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC420075_repeatability/remesh/repeats/repeat_003/sub-CC420075/anat/m2m_sub-CC420075/sub-CC420075.msh,False,/home/boyan/sandbox/Jake_Data/Repeatability-Data/repeatability_scaled/_analysis/sub-CC420075/remesh/summary.csv,"Closest repeat to arithmetic median; lower/upper median brackets are also recorded. For reruns, reuse selected_m2m_dir when available."
sub-CC510534,remesh,median_roi,median_roi,requested_metric,selected,0.1778559684753418,repeat_009,0.1777036041021347,0.00015236437320709229,-0.00015236437320709229,20,340279.0,repeat_009,0.1777036041021347,repeat_038,0.1780083328485489,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC510534_repeatability/remesh/repeats/repeat_009,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC510534_repeatability/remesh/repeats/repeat_009/sub-CC510534/anat/m2m_sub-CC510534,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC510534_repeatability/remesh/repeats/repeat_009/sub-CC510534/anat/m2m_sub-CC510534/sub-CC510534.msh,False,/home/boyan/sandbox/Jake_Data/Repeatability-Data/repeatability_scaled/_analysis/sub-CC510534/remesh/summary.csv,"Closest repeat to arithmetic median; lower/upper median brackets are also recorded. For reruns, reuse selected_m2m_dir when available."
sub-CC520209,remesh,median_roi,median_roi,requested_metric,selected,0.23837047070264816,repeat_011,0.2386329621076584,0.0002624914050102234,0.0002624914050102234,21,346371.0,repeat_039,0.23810797929763794,repeat_011,0.2386329621076584,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC520209_repeatability/remesh/repeats/repeat_011,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC520209_repeatability/remesh/repeats/repeat_011/sub-CC520209/anat/m2m_sub-CC520209,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC520209_repeatability/remesh/repeats/repeat_011/sub-CC520209/anat/m2m_sub-CC520209/sub-CC520209.msh,False,/home/boyan/sandbox/Jake_Data/Repeatability-Data/repeatability_scaled/_analysis/sub-CC520209/remesh/summary.csv,"Closest repeat to arithmetic median; lower/upper median brackets are also recorded. For reruns, reuse selected_m2m_dir when available."
sub-CC711128,remesh,median_roi,median_roi,requested_metric,selected,0.20834378898143768,repeat_022,0.20785818994045258,0.0004855990409851074,-0.0004855990409851074,20,349049.0,repeat_022,0.20785818994045258,repeat_024,0.2088293880224228,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC711128_repeatability/remesh/repeats/repeat_022,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC711128_repeatability/remesh/repeats/repeat_022/sub-CC711128/anat/m2m_sub-CC711128,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC711128_repeatability/remesh/repeats/repeat_022/sub-CC711128/anat/m2m_sub-CC711128/sub-CC711128.msh,False,/home/boyan/sandbox/Jake_Data/Repeatability-Data/repeatability_scaled/_analysis/sub-CC711128/remesh/summary.csv,"Closest repeat to arithmetic median; lower/upper median brackets are also recorded. For reruns, reuse selected_m2m_dir when available."
sub-CC721418,remesh,median_roi,median_roi,requested_metric,selected,0.22903155162930489,repeat_005,0.22910533845424652,7.378682494163513e-05,7.378682494163513e-05,21,347563.0,repeat_011,0.22895776480436325,repeat_005,0.22910533845424652,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC721418_repeatability/remesh/repeats/repeat_005,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC721418_repeatability/remesh/repeats/repeat_005/sub-CC721418/anat/m2m_sub-CC721418,/mnt/parscratch/users/cop23bi/current-repair/repeatability_scaled/sub-CC721418_repeatability/remesh/repeats/repeat_005/sub-CC721418/anat/m2m_sub-CC721418/sub-CC721418.msh,False,/home/boyan/sandbox/Jake_Data/Repeatability-Data/repeatability_scaled/_analysis/sub-CC721418/remesh/summary.csv,"Closest repeat to arithmetic median; lower/upper median brackets are also recorded. For reruns, reuse selected_m2m_dir when available."
