roi,E_target,stimulated_volume,configuration,pair1,pair2,current1,current2
ctx_lh_G_precentral,0.20710559247291363,0.22983176542219763,543633,F1-F2,C3-CP3,2.0,0.796214341106994
ctx_lh_G_front_middle,0.2022548205059828,0.1969842168368244,1464141,F7-FT9,F3-FC1,2.0,0.502377286301916
Left_Hippocampus,0.20126048959568976,2.0036083411773995,2759214,F8-P8,T7-P7,2.0,1.5886564694485628
Left_Thalamus,0.20109914211638394,7.458571543029045,2750274,F8-P8,FC5-P7,2.0,1.5886564694485628
Left_Pallidum,0.20197779387016448,1.3031909409988094,69733,Fpz-AF8,TP7-Iz,2.0,1.0023744672545443
ctx_rh_G_precentral,0.20001911434716863,0.21620176611758893,137432,Fp2-F6,C4-CP2,2.0,0.6324555320336759
ctx_rh_G_front_middle,0.2041808209441626,0.2034290846237534,322959,AF4-F4,FC2-C2,0.7962143411069944,2.0
Right_Hippocampus,0.20766303735225805,2.219011090797281,2478066,F9-P7,FT8-TP8,2.0,1.5886564694485628
Right_Thalamus,0.20013476226030563,7.3950420397326075,1522874,F5-TP7,FT8-P8,2.0,2.0
Right_Pallidum,0.20250278570888763,1.8658885441995348,1742988,F10-FT8,FT7-C3,1.5886564694485628,2.0
Left-Cerebral-White-Matter,0.2042666920533059,0.07051157568719797,490648,F5-FCz,PO9-PO10,0.7962143411069944,2.0
Left-Cerebellum-White-Matter,0.20073403949995575,0.4651375636314268,460267,F7-T7,PO10-O2,2.0,1.5886564694485628
Left-Cerebellum-Cortex,0.20030548407395565,0.7850529813870417,54877,Fp1-TP8,P9-I1,2.0,1.2619146889603863
Left-Caudate,0.20008551566750463,7.751296185093609,1181870,Fp2-T8,T7-P5,2.0,2.0
Left-Putamen,0.20138746801269258,4.586450274082162,1218541,AF7-FC5,F10-O2,1.2619146889603863,2.0
Brain-Stem,0.200375469780709,0.9322506157052735,2963514,FT10-P10,T7-P9,2.0,1.2619146889603863
Left-Amygdala,0.2012541480803058,1.2186106551499052,1475483,F7-T7,F10-PO10,1.5886564694485628,2.0
Left-Accumbens-area,0.20239552931513888,0.998738324199714,168611,AF7-AFz,PO4-PO10,1.0023744672545445,2.0
Left-VentralDC,0.20221233011458672,0.34213795057248136,1487421,F7-T7,FT10-P8,2.0,1.2619146889603863
Right-Cerebral-White-Matter,0.20173009259693764,0.07317807675443655,671448,F6-FCz,PO9-PO10,0.7962143411069944,2.0
Right-Cerebellum-White-Matter,0.20181731876562067,0.6331015082897375,371297,AF8-FT9,PO10-Iz,1.5886564694485628,2.0
Right-Cerebellum-Cortex,0.2022888143237244,1.2564182829895858,212556,AF7-P9,P10-I2,2.0,1.5886564694485628
Right-Caudate,0.2044018945168408,6.172007370613555,126190,Fp2-F7,TP8-O2,1.2619146889603863,2.0
Right-Putamen,0.2004379327203685,2.9542281487731694,365850,AF8-F6,FT9-O2,2.0,1.5886564694485628
